,Feature,Accuracy,Coefficient,Odds Ratio,P-value,abs_coef
34,None of these,0.7010309278350515,-4.1183195303974625,0.0162718358046077,1.155364420575154e-24,4.1183195303974625
1,Owns Electric Vehicle,0.7650957290132547,2.353802621042079,10.52551827927031,4.333242808498751e-75,2.353802621042079
27,Saving on my energy bill by using my car battery to power my home,0.6693667157584683,1.4270293609677174,4.166304204631244,3.1445310390889293e-35,1.4270293609677174
5,How Familiar Are You with V2G?,0.7025036818851251,1.1996304238585105,3.3188901134486337,1.70703057241486e-54,1.1996304238585105
9,Owns Neither Solar nor Battery,0.6435935198821797,-1.1915660410576885,0.30374521393087495,6.820195663152983e-25,1.1915660410576885
26,Earning money from my car battery by selling electricity to the grid,0.5868924889543446,1.180976287086547,3.257552957834964,3.031614733617838e-17,1.180976287086547
7,Owns Solar Panels,0.6428571428571429,1.1791245005094735,3.251526246807021,1.2096395891974928e-24,1.1791245005094735
8,Owns Home Battery,0.5758468335787923,1.068983997648851,2.9124189717570146,1.6466098125144468e-14,1.068983997648851
0,Owns Petrol/Diesel Car,0.6134020618556701,-1.0671460434807791,0.3439888470568187,8.654323740712876e-20,1.0671460434807791
30,Supporting the grid during high demand,0.5640648011782032,1.0581264481470207,2.880968286255129,8.563457317884411e-13,1.0581264481470207
28,Helping the environment,0.6200294550810015,1.0447196224648656,2.842601410333858,3.408435901058844e-20,1.0447196224648656
29,Using more of my solar power,0.5957290132547864,0.9885266219585855,2.6872721862628537,3.3024581523493703e-16,0.9885266219585855
3,Owns Hybrid,0.5522827687776142,-0.8522245543534321,0.42646518097913005,1.938246634780936e-05,0.8522245543534321
33,Avoiding buying a home battery,0.5235640648011782,0.6307172344034676,1.8789577492286775,0.0002692506633397354,0.6307172344034676
31,Being more independent from the grid,0.5375552282768777,0.5109414548931211,1.6668597297263574,3.225459076624298e-05,0.5109414548931211
24,Carport,0.5419734904270986,-0.4736736166677889,0.6227104617193415,0.00502280401174404,0.4736736166677889
13,EV at home (10am-3pm),0.7253313696612665,0.45580636855549533,1.5774448722636485,1.4961151208404278e-53,0.45580636855549533
14,EV at home (4pm-9pm),0.7511045655375552,0.42523524581702704,1.5299502917389096,1.6004273778810455e-67,0.42523524581702704
22,Personal driveway,0.5544918998527246,0.3990195610820165,1.4903627714306775,0.0001547863708530178,0.3990195610820165
15,EV at home (9pm-6am),0.7511045655375552,0.39136813257766756,1.4790028823504868,1.0232602915330652e-71,0.39136813257766756
6,How Many Kilometres Do You Drive Per Year?,0.5787923416789397,0.301569529501595,1.351979114304195,9.481561712318907e-06,0.301569529501595
23,Personal garage,0.5397643593519882,0.2699699430683465,1.3099250778130007,0.016976248249259605,0.2699699430683465
2,Owns Plug-in Hybrid,0.5235640648011782,0.21911109587798897,1.2449695799934843,0.3389728804582567,0.21911109587798897
16,Hybrid at home (10am-3pm),0.5522827687776142,-0.2121998498115798,0.808803042278044,3.3222033832938006e-05,0.2121998498115798
32,Protecting me against blackout,0.5235640648011782,0.2045564374783121,1.2269807015884482,0.10264946528461846,0.2045564374783121
17,Hybrid at home (4pm-9pm),0.5522827687776142,-0.1849475835486181,0.8311478485311564,1.7816143661570043e-05,0.1849475835486181
25,Street parking,0.5235640648011782,0.1785566529804918,1.1954906094611912,0.11837516238179814,0.1785566529804918
12,Petrol at home (9pm-6am),0.6045655375552282,-0.17167157110011697,0.8422557488773099,5.756922668175656e-18,0.17167157110011697
11,Petrol at home (4pm-9pm),0.5957290132547864,-0.16404739522512207,0.8487017965142618,4.234724575662058e-15,0.16404739522512207
18,Hybrid at home (9pm-6am),0.5522827687776142,-0.1598575049617,0.852265223879788,2.9309642729744115e-05,0.1598575049617
10,Petrol at home (10am-3pm),0.5670103092783505,-0.1321750021527537,0.876187646937207,7.478206906171407e-09,0.1321750021527537
20,Plug-in Hybrid at home (4pm-9pm),0.5235640648011782,0.08859939346335115,1.092642848770461,0.15618596190016332,0.08859939346335115
19,Plug-in Hybrid at home (10am-3pm),0.5235640648011782,0.08847186471178194,1.092503514276812,0.2672409627507297,0.08847186471178194
21,Plug-in Hybrid at home (9pm-6am),0.5235640648011782,0.06152962707726818,1.0634620033330147,0.27813942776910805,0.06152962707726818
4,Does Not Own a Car,0.5235640648011782,0.0,1.0,0.624494896236172,0.0
