,Feature,Accuracy,Coefficient,Odds Ratio,P-value,abs_coef
34,Q14 - None of these,0.7010309278350515,-4.118298134844453,0.016272183953257618,1.155364420575154e-24,4.118298134844453
6,Owns Electric Vehicle,0.7650957290132547,2.353795069509687,10.525438795778195,4.333242808498751e-75,2.353795069509687
27,Saving on my energy bill by using my car battery to power my home,0.6693667157584683,1.427028074870606,4.166298846362886,3.1445310390889293e-35,1.427028074870606
36,Safety concerns,0.6023564064801178,-1.2888796646116285,0.2755793515072164,2.8256419912983473e-16,1.2888796646116285
45,Q15 - None of these,0.5913107511045655,-1.2672268719551512,0.2816114846546428,6.529814233704064e-14,1.2672268719551512
0,How Familiar Are You with V2G?,0.7025036818851251,1.199616069913149,3.318842474623188,1.70703057241486e-54,1.199616069913149
4,Owns Neither Solar nor Battery,0.6435935198821797,-1.1915640828423544,0.3037458087299929,6.820195663152983e-25,1.1915640828423544
26,Earning money from my car battery by selling electricity to the grid,0.5868924889543446,1.1809573926633374,3.257491408832219,3.031614733617838e-17,1.1809573926633374
2,Owns Solar Panels,0.6428571428571429,1.1791245843948766,3.2515265195626224,1.2096395891974928e-24,1.1791245843948766
41,Impact on my EV warranty,0.5559646539027983,1.1440999876001272,3.139614392994221,2.5352406093147185e-12,1.1440999876001272
3,Owns Home Battery,0.5758468335787923,1.0690158747369993,2.912511812673043,1.6466098125144468e-14,1.0690158747369993
5,Owns Petrol/Diesel Car,0.6134020618556701,-1.0671550921960224,0.34398573441377756,8.654323740712876e-20,1.0671550921960224
30,Supporting the grid during high demand,0.5640648011782032,1.0581018491622012,2.8808974182316343,8.563457317884411e-13,1.0581018491622012
28,Helping the environment,0.6200294550810015,1.0446700637385995,2.8424605381194326,3.408435901058844e-20,1.0446700637385995
29,Using more of my solar power,0.5957290132547864,0.9885711968793159,2.687391973877279,3.3024581523493703e-16,0.9885711968793159
39,Impact on my EV battery life and range,0.593519882179676,0.8594518220177487,2.361865616043944,4.899481709134622e-14,0.8594518220177487
8,Owns Hybrid,0.5522827687776142,-0.8522494457999767,0.426454565775989,1.938246634780936e-05,0.8522494457999767
44,I don’t want to lose control of how I charge my EV,0.5235640648011782,0.6623441128555434,1.939333025853305,2.613740224663343e-05,0.6623441128555434
33,Avoiding buying a home battery,0.5235640648011782,0.6306354171461163,1.8788040243477164,0.0002692506633397354,0.6306354171461163
31,Being more independent from the grid,0.5375552282768777,0.5109234371874517,1.6668296970089163,3.225459076624298e-05,0.5109234371874517
24,Carport,0.5419734904270986,-0.4736862006136684,0.6227026256138972,0.00502280401174404,0.4736862006136684
42,Whether it is actually possible at my home,0.5272459499263623,0.4124440665563792,1.5105050521956072,0.0007602365454075711,0.4124440665563792
22,Personal driveway,0.5544918998527246,0.3990051043643837,1.4903412258326603,0.0001547863708530178,0.3990051043643837
46,I check my energy bill regularly,0.5920471281296024,0.3558877155551667,1.4274472591420042,2.5623922231974903e-11,0.3558877155551667
37,Complicated to set up,0.5235640648011782,0.3268209661671541,1.3865532150207722,0.02666793178728491,0.3268209661671541
1,How Many Kilometres Do You Drive Per Year?,0.5787923416789397,0.3015642604161484,1.3519719906294874,9.481561712318907e-06,0.3015642604161484
47,I try to minimise my energy usage to reduce my bill,0.5478645066273933,0.2850641129679357,1.3298472858447785,3.689228915405169e-07,0.2850641129679357
23,Personal garage,0.5397643593519882,0.26997020927122767,1.309925426518877,0.016976248249259605,0.26997020927122767
20,Plug-in Hybrid at home (4pm-9pm),0.6363636363636364,0.24766175539090357,1.28102655857746,0.027706617875121742,0.24766175539090357
