,Feature,Accuracy,Coefficient,Odds Ratio,P-value,abs_coef
48,I regularly compare my current plan against alternatives in the market,0.5434462444771723,0.22309770824792965,1.2499426974806216,1.160090184764587e-07,0.22309770824792965
7,Owns Plug-in Hybrid,0.5235640648011782,0.21929156573427847,1.245194279749827,0.3389728804582567,0.21929156573427847
32,Protecting me against blackout,0.5235640648011782,0.2045776123925521,1.2270066830746555,0.10264946528461846,0.2045776123925521
25,Street parking,0.5235640648011782,0.17856070425753995,1.1954954527346693,0.11837516238179814,0.17856070425753995
17,Hybrid at home (4pm-9pm),0.6756756756756757,-0.16894189374902335,0.8445579760580272,0.3195774430202687,0.16894189374902335
38,Complicated to use,0.5235640648011782,0.15180566330148684,1.1639340193570755,0.3760385274088558,0.15180566330148684
19,Plug-in Hybrid at home (10am-3pm),0.5454545454545454,0.14874710740272507,1.1603795007143556,0.5443418721803687,0.14874710740272507
16,Hybrid at home (10am-3pm),0.6756756756756757,-0.1291015885047376,0.8788846764301708,0.44901684467897873,0.1291015885047376
10,Petrol at home (10am-3pm),0.5697940503432495,0.11444482397320252,1.1212507731944583,0.002648903640258079,0.11444482397320252
18,Hybrid at home (9pm-6am),0.6756756756756757,-0.10401593825796279,0.9012109335743995,0.6875446599202646,0.10401593825796279
43,Would require my car to be plugged in for the majority of the time,0.5235640648011782,-0.10072621598877511,0.904180549178942,0.4575737663247752,0.10072621598877511
21,Plug-in Hybrid at home (9pm-6am),0.6060606060606061,0.09755615061867846,1.1024733443857326,0.335172986233478,0.09755615061867846
40,Not having enough battery when I need to drive,0.5235640648011782,0.08587584920722782,1.0896710363839748,0.41323395204204005,0.08587584920722782
14,EV at home (4pm-9pm),0.7552083333333334,0.07728284105876168,1.0803475998422456,0.30149712494214154,0.07728284105876168
11,Petrol at home (4pm-9pm),0.5697940503432495,0.061906840575413284,1.063863231224967,0.14894882602571383,0.061906840575413284
15,EV at home (9pm-6am),0.7552083333333334,0.050337480250083486,1.0516259394814367,0.7907341697903716,0.050337480250083486
35,High cost of car and charger,0.5235640648011782,-0.04732152756444459,0.953780681504637,0.5636215408203099,0.04732152756444459
13,EV at home (10am-3pm),0.7552083333333334,0.02786352277611788,1.028255341410393,0.6457641249868785,0.02786352277611788
12,Petrol at home (9pm-6am),0.5697940503432495,-0.008102165040855551,0.9919305690330386,0.930365552831964,0.008102165040855551
9,Does Not Own a Car,0.5235640648011782,0.0,1.0,0.624494896236172,0.0
