,Feature,Accuracy,Coefficient,Odds Ratio,P-value,abs_coef
34,Q14 - None of these,0.7010309278350515,-4.118285976748089,0.016272381793240854,1.155364420575154e-24,4.118285976748089
6,Owns Electric Vehicle,0.7650957290132547,2.3538034784611814,10.525527304054615,4.333242808498751e-75,2.3538034784611814
27,Saving on my energy bill by using my car battery to power my home,0.6693667157584683,1.4270588954684504,4.166427256162953,3.1445310390889293e-35,1.4270588954684504
36,Safety concerns,0.6023564064801178,-1.2888765525683188,0.27558020912342807,2.8256419912983473e-16,1.2888765525683188
45,Q15 - None of these,0.5913107511045655,-1.267244426130084,0.281606541240767,6.529814233704064e-14,1.267244426130084
0,How Familiar Are You with V2G?,0.7025036818851251,1.1996973674511402,3.3191122993132485,1.70703057241486e-54,1.1996973674511402
4,Owns Neither Solar nor Battery,0.6435935198821797,-1.1915258096723402,0.30375743426744317,6.820195663152983e-25,1.1915258096723402
26,Earning money from my car battery by selling electricity to the grid,0.5868924889543446,1.1809836530607452,3.257576952974374,3.031614733617838e-17,1.1809836530607452
2,Owns Solar Panels,0.6428571428571429,1.1791142530563292,3.2514929271148807,1.2096395891974928e-24,1.1791142530563292
41,Impact on my EV warranty,0.5559646539027983,1.1441102451155043,3.1396465978023054,2.5352406093147185e-12,1.1441102451155043
3,Owns Home Battery,0.5758468335787923,1.0690153160660731,2.9125101855378257,1.6466098125144468e-14,1.0690153160660731
5,Owns Petrol/Diesel Car,0.6134020618556701,-1.0671814016281027,0.3439766844635115,8.654323740712876e-20,1.0671814016281027
30,Supporting the grid during high demand,0.5640648011782032,1.0581113075090116,2.8809246668874047,8.563457317884411e-13,1.0581113075090116
28,Helping the environment,0.6200294550810015,1.0447178542699342,2.8425963840648962,3.408435901058844e-20,1.0447178542699342
29,Using more of my solar power,0.5957290132547864,0.9885410034966378,2.687310833647961,3.3024581523493703e-16,0.9885410034966378
39,Impact on my EV battery life and range,0.593519882179676,0.859466954309388,2.3619013567536777,4.899481709134622e-14,0.859466954309388
8,Owns Hybrid,0.5522827687776142,-0.8522308726883878,0.4264624864377822,1.938246634780936e-05,0.8522308726883878
44,I don’t want to lose control of how I charge my EV,0.5235640648011782,0.662372289295043,1.9393876701228145,2.613740224663343e-05,0.662372289295043
33,Avoiding buying a home battery,0.5235640648011782,0.6307090954990626,1.8789424566334083,0.0002692506633397354,0.6307090954990626
31,Being more independent from the grid,0.5375552282768777,0.5109231299662179,1.6668291849235188,3.225459076624298e-05,0.5109231299662179
24,Carport,0.5419734904270986,-0.4736905688765637,0.6226999054910641,0.00502280401174404,0.4736905688765637
42,Whether it is actually possible at my home,0.5272459499263623,0.412444208224811,1.5105052661865044,0.0007602365454075711,0.412444208224811
22,Personal driveway,0.5544918998527246,0.3990199027140708,1.4903632805864597,0.0001547863708530178,0.3990199027140708
